#path, x1, y1, x2, y2
0, 2.5, 34, 2.5, -34
1, -2.5, -34, -2.5, 34
2, -2.5, -34, -2.5, -3
2, -2.5, -3, -3, -2.5
2, -3, -2.5, -34, -2.5
3, 2.5, 34, 2.5, 3
3, 2.5, 3, 3, 2.5
3, 3, 2.5, 34, 2.5
4, 34, -2.5, -34, -2.5  
5, -34, 2.5, 34, 2.5 
6, -34, 2.5, 2, 2.5
6, 2, 2.5, 2.5, 2
6, 2.5, 2, 2.5, -34
7, 34, -2.5, -2, -2.5
7, -2, -2.5, -2.5, -2
7, -2.5, -2, -2.5, 34
8, -34, 2.5, -3, 2.5
8, -3, 2.5, -2.5, 3
8, -2.5, 3, -2.5, 34
9, 34, -2.5, 3, -2.5
9, 3, -2.5, 2.5, -3
9, 2.5, -3, 2.5, -34
10, -2.5, -34, -2.5, 2
10, -2.5, 2, -2, 2.5
10, -2, 2.5, 34, 2.5
11, 2.5, 34, 2.5, -2
11, 2.5, -2, 2, -2.5
11, 2, -2.5, -34, -2.5
